dataset_index,unrelated_index,shuffled_blur_index,paired_clean_blur__positive_jaccard,paired_clean_blur__weighted_jaccard,paired_clean_blur__cosine_similarity,paired_clean_blur__top16_jaccard,paired_clean_blur__top32_jaccard,paired_clean_blur__top64_jaccard,paired_clean_blur__top128_jaccard,unrelated_clean_clean__positive_jaccard,unrelated_clean_clean__weighted_jaccard,unrelated_clean_clean__cosine_similarity,unrelated_clean_clean__top16_jaccard,unrelated_clean_clean__top32_jaccard,unrelated_clean_clean__top64_jaccard,unrelated_clean_clean__top128_jaccard,unrelated_clean_blur__positive_jaccard,unrelated_clean_blur__weighted_jaccard,unrelated_clean_blur__cosine_similarity,unrelated_clean_blur__top16_jaccard,unrelated_clean_blur__top32_jaccard,unrelated_clean_blur__top64_jaccard,unrelated_clean_blur__top128_jaccard,shuffled_clean_blur__positive_jaccard,shuffled_clean_blur__weighted_jaccard,shuffled_clean_blur__cosine_similarity,shuffled_clean_blur__top16_jaccard,shuffled_clean_blur__top32_jaccard,shuffled_clean_blur__top64_jaccard,shuffled_clean_blur__top128_jaccard
511,86,457,0.9896053075790405,0.7552984952926636,0.9306233525276184,0.38727739453315735,0.40801048278808594,0.4176606833934784,0.44183582067489624,0.9812096953392029,0.6017120480537415,0.8049116730690002,0.04964825138449669,0.04919376224279404,0.061887290328741074,0.09888086467981339,0.9826039671897888,0.603253960609436,0.8075682520866394,0.06646332144737244,0.060028765350580215,0.06102532148361206,0.09398555755615234,0.9856489896774292,0.5905612707138062,0.8036194443702698,0.03605661913752556,0.03560550883412361,0.05130177363753319,0.08789866417646408
512,721,62,0.9908748865127563,0.7480232119560242,0.9352930784225464,0.32986488938331604,0.30405494570732117,0.3095032870769501,0.3486286699771881,0.9821126461029053,0.5935986638069153,0.8209075927734375,0.03199734166264534,0.0344943031668663,0.053402915596961975,0.08680026233196259,0.9846628904342651,0.6116471290588379,0.8274822235107422,0.03110552951693535,0.036676667630672455,0.05409926548600197,0.0901385098695755,0.9861125349998474,0.6287761926651001,0.8429087996482849,0.06162647157907486,0.06359010934829712,0.07662912458181381,0.10727418214082718
513,985,666,0.9918022155761719,0.8047292828559875,0.9584166407585144,0.5235285758972168,0.4973699450492859,0.507601261138916,0.5237140655517578,0.9687057733535767,0.5805724859237671,0.7560672760009766,0.05192359909415245,0.05453389883041382,0.06380988657474518,0.09164560586214066,0.9692103266716003,0.5739288330078125,0.7589101195335388,0.049988023936748505,0.056536585092544556,0.06659552454948425,0.09452671557664871,0.9720345139503479,0.5932826995849609,0.7749834656715393,0.05554744973778725,0.052725959569215775,0.06305240094661713,0.09336062520742416
514,533,101,0.991449236869812,0.7548085451126099,0.9440325498580933,0.38934165239334106,0.38101139664649963,0.3799552023410797,0.4020286798477173,0.9776961207389832,0.5813748240470886,0.7896902561187744,0.03693653643131256,0.046375926584005356,0.059044063091278076,0.09155480563640594,0.9773585200309753,0.5829949378967285,0.7913007140159607,0.04559919610619545,0.04667219892144203,0.056808557361364365,0.08818338811397552,0.977563738822937,0.5957104563713074,0.7938194870948792,0.0482279509305954,0.041911330074071884,0.05331908166408539,0.09037069231271744
515,20,571,0.9860369563102722,0.6994918584823608,0.8977541327476501,0.17126937210559845,0.16626980900764465,0.187612846493721,0.2380325347185135,0.9774948358535767,0.6131563782691956,0.804579496383667,0.03855123370885849,0.04003461077809334,0.05477229878306389,0.09312248229980469,0.9788069725036621,0.608399510383606,0.8107567429542542,0.03946787491440773,0.04194888100028038,0.057170234620571136,0.09197495877742767,0.9826710820198059,0.6237142086029053,0.8281551599502563,0.04744434356689453,0.04851829260587692,0.05951197072863579,0.08881145715713501
516,381,851,0.9885134100914001,0.7102312445640564,0.9053551554679871,0.28330284357070923,0.27103933691978455,0.28849244117736816,0.31414994597435,0.9826045036315918,0.6044720411300659,0.8170955181121826,0.06544049084186554,0.059693120419979095,0.06898028403520584,0.09646749496459961,0.9803594946861267,0.6060183644294739,0.8116869926452637,0.06995848566293716,0.06387165188789368,0.07064024358987808,0.09880644083023071,0.9865586757659912,0.6185678839683533,0.8242752552032471,0.045514095574617386,0.047093313187360764,0.06006750464439392,0.09165388345718384
517,71,362,0.9943117499351501,0.7722300291061401,0.944897472858429,0.30944886803627014,0.3082033097743988,0.3212073743343353,0.3601054549217224,0.9860072135925293,0.6350132822990417,0.8361290097236633,0.022997532039880753,0.03530416637659073,0.05615881457924843,0.09081967175006866,0.988034725189209,0.6370989084243774,0.8476810455322266,0.03998885303735733,0.04544709622859955,0.0572701059281826,0.09246811270713806,0.9855853915214539,0.6342884302139282,0.8355954885482788,0.03893771395087242,0.04295525327324867,0.058039069175720215,0.09146518260240555
518,469,650,0.9943504929542542,0.7205419540405273,0.9282095432281494,0.24753503501415253,0.23097485303878784,0.24258169531822205,0.290662944316864,0.9782954454421997,0.5903202891349792,0.7910755276679993,0.06341049820184708,0.0595654733479023,0.06245768815279007,0.09435102343559265,0.977584958076477,0.6049150824546814,0.8047224879264832,0.0743313580751419,0.06574147194623947,0.07081050425767899,0.10083457082509995,0.9822588562965393,0.6110549569129944,0.8253530859947205,0.11085619032382965,0.08331839740276337,0.08039931952953339,0.11356040090322495
519,781,766,0.9856746196746826,0.7070186734199524,0.8922551870346069,0.27341151237487793,0.23054994642734528,0.2290945202112198,0.25821635127067566,0.9809018969535828,0.6197870373725891,0.8129053711891174,0.044499289244413376,0.04241786524653435,0.05871541053056717,0.09474951773881912,0.9794826507568359,0.6179866790771484,0.8146986365318298,0.046367477625608444,0.05099169909954071,0.0624263621866703,0.09699093550443649,0.9834943413734436,0.6048427224159241,0.8326274156570435,0.0715479701757431,0.06487766653299332,0.07421213388442993,0.10284072160720825
520,515,813,0.9928381443023682,0.7729611396789551,0.9505580067634583,0.3287176787853241,0.3494724929332733,0.36956319212913513,0.41144847869873047,0.9742270112037659,0.6033831238746643,0.7897632122039795,0.030322307720780373,0.0388859398663044,0.05431665480136871,0.08896936476230621,0.977344274520874,0.5965002775192261,0.7999977469444275,0.03901796415448189,0.04495764151215553,0.05867160111665726,0.09105678647756577,0.9777244925498962,0.5975562930107117,0.8013103008270264,0.026955418288707733,0.03847601264715195,0.05465637892484665,0.09003063291311264
