intervention_name,num_features,n_samples,mean_true_logit_change,median_true_logit_change,mean_margin_change,median_margin_change,margin_change_95CI_low,margin_change_95CI_high,percent_margin_improved,num_predictions_recovered,recovery_rate,paired_pvalue,effect_size,random_control_mean,random_control_std,random_empirical_pvalue,magnitude_matched_control_mean,magnitude_matched_control_std,magnitude_matched_empirical_pvalue
global_top_64,64,12,0.48107043902079266,0.3800649642944336,0.29446256160736084,0.2614067792892456,0.12094737341006596,0.4720645810166991,83.33333333333334,1,0.08333333333333333,0.01611328125,0.8922474612487472,0.27392899592717485,0.04205138340142591,0.3333333333333333,0.5410193006197611,0.0,1.0
personal_top_1,1,12,-0.28304141759872437,-0.16061902046203613,-0.04216239849726359,-0.01979827880859375,-0.24815129190683363,0.13512266129255274,41.66666666666667,0,0.0,0.90966796875,-0.12061850531981902,,,,,,
personal_top_2,2,12,-0.238435427347819,-0.062180280685424805,-0.20571351051330566,-0.14909350872039795,-0.3984632775187492,-0.04720738331476853,33.33333333333333,0,0.0,0.05224609375,-0.6073041894843829,,,,,,
personal_top_4,4,12,0.015203356742858887,0.004031181335449219,-0.23036535580952963,-0.19815850257873535,-0.4253622402747472,-0.046943719685077885,41.66666666666667,0,0.0,0.0771484375,-0.6664890773700543,,,,,,
personal_top_8,8,12,0.4651459852854411,0.3138096332550049,0.20940069357554117,0.08440124988555908,-0.04104623744885127,0.49117869834105166,75.0,1,0.08333333333333333,0.17626953125,0.42863781037070786,,,,,,
personal_top_16,16,12,0.6629313031832377,0.4457087516784668,0.3323673605918884,0.24407386779785156,-0.005440194408098854,0.6658482760190964,66.66666666666666,1,0.08333333333333333,0.12939453125,0.5209644221822719,,,,,,
personal_top_32,32,12,1.0058907667795818,0.757194995880127,0.746255119641622,0.7475457191467285,0.2826884935299555,1.21199454665184,75.0,5,0.4166666666666667,0.02099609375,0.839077890740573,,,,,,
combo_6730_3122,2,12,0.030085583527882893,0.018706321716308594,0.03337786595026652,0.02679586410522461,0.0041513075431187955,0.06521219114462534,83.33333333333334,0,0.0,0.05224609375,0.5855497975979622,,,,,,
combo_6730_22739,2,12,0.21579424540201822,0.17422246932983398,0.04984891414642334,0.07093095779418945,-0.09316404014825821,0.17792320946852364,75.0,0,0.0,0.38037109375,0.19820859626922183,,,,,,
combo_6730_6966,2,12,0.3282158374786377,0.14015865325927734,0.204262375831604,0.12546348571777344,0.017010773718357085,0.4192347740133603,66.66666666666666,1,0.08333333333333333,0.10986328125,0.5252750686074895,,,,,,
combo_3122_22739,2,12,0.19641351699829102,0.16048717498779297,0.021077076594034832,0.057070255279541016,-0.13703513393799463,0.16046703159809106,66.66666666666666,0,0.0,0.5693359375,0.07641646801986275,,,,,,
combo_3122_6966,2,12,0.3131788969039917,0.14456963539123535,0.17637221018473306,0.06377959251403809,-0.022642172873020172,0.39608781635761253,66.66666666666666,1,0.08333333333333333,0.2333984375,0.43385890514278186,,,,,,
combo_22739_6966,2,12,0.41900134086608887,0.2317354679107666,0.19411595662434897,0.09126877784729004,-0.10355774760246277,0.5108729720115661,66.66666666666666,2,0.16666666666666666,0.26611328125,0.33140355039512925,,,,,,
combo_6730_3122_22739,3,12,0.22266538937886557,0.17253565788269043,0.05373668670654297,0.07680749893188477,-0.10270792196194331,0.1948562820752461,75.0,0,0.0,0.38037109375,0.19515950655189798,,,,,,
combo_6730_3122_6966,3,12,0.335737943649292,0.1389303207397461,0.2098184029261271,0.12323284149169922,0.014477088054021202,0.4324329649408658,66.66666666666666,1,0.08333333333333333,0.17626953125,0.5171418748019596,,,,,,
combo_6730_22739_6966,3,12,0.44309794902801514,0.22862768173217773,0.22781761487325033,0.14970016479492188,-0.06667777597904205,0.5406880622108777,66.66666666666666,1,0.08333333333333333,0.20361328125,0.39132771103682357,,,,,,
combo_3122_22739_6966,3,12,0.4275716741879781,0.2296900749206543,0.2000543475151062,0.08854460716247559,-0.10902928362290065,0.5232262720664338,75.0,1,0.08333333333333333,0.20361328125,0.3310988117750592,,,,,,
reverse_candidate_6730,1,20,-0.0018018722534179688,-0.001399993896484375,-0.004293298721313477,-0.0032944679260253906,-0.012539104223251343,0.003929068446159362,40.0,0,0.0,0.1230926513671875,-0.2323735166440206,,,,,,
reverse_candidate_3122,1,20,3.5381317138671876e-05,-4.291534423828125e-06,-0.00407106876373291,-0.0033698081970214844,-0.011412984132766722,0.003663552403450011,30.0,0,0.0,0.1230926513671875,-0.22574036987105073,,,,,,
reverse_candidate_22739,1,20,-0.05512423515319824,-0.019489288330078125,-0.03279709815979004,-0.013170003890991211,-0.05661765158176422,-0.013330519795417791,15.0,0,0.0,0.000850677490234375,-0.6317375984004395,,,,,,
reverse_candidate_6966,1,20,-0.08622617721557617,-0.021853923797607422,-0.05390098094940186,-0.03551006317138672,-0.1129083663225174,0.002729219198226928,25.0,0,0.0,0.01531219482421875,-0.390714742640343,,,,,,
reverse_candidate_top_1,1,20,-0.0018018722534179688,-0.001399993896484375,-0.004293298721313477,-0.0032944679260253906,-0.012539104223251343,0.003929068446159362,40.0,0,0.0,0.1230926513671875,-0.2323735166440206,,,,,,
reverse_candidate_top_2,2,20,-0.001812314987182617,-0.0012907981872558594,-0.008509492874145508,-0.005990028381347656,-0.02007857143878937,0.003267284035682669,30.0,0,0.0,0.09730720520019531,-0.311832285363277,,,,,,
reverse_candidate_top_3,3,20,-0.056518840789794925,-0.021877765655517578,-0.042109227180480956,-0.029492855072021484,-0.07419115960597991,-0.017889703512191775,20.0,0,0.0,0.001209259033203125,-0.6308657630408361,,,,,,
reverse_candidate_top_4,4,20,-0.19248509407043457,-0.04025840759277344,-0.12045843601226806,-0.0762929916381836,-0.20712760448455808,-0.04282526016235366,15.0,0,0.0,0.0023250579833984375,-0.6047115266487706,,,,,,
reverse_global_top_1,1,20,-0.0018018722534179688,-0.001399993896484375,-0.004293298721313477,-0.0032944679260253906,-0.012539104223251343,0.003929068446159362,40.0,0,0.0,0.1230926513671875,-0.2323735166440206,,,,,,
reverse_global_top_2,2,20,-0.001812314987182617,-0.0012907981872558594,-0.008509492874145508,-0.005990028381347656,-0.02007857143878937,0.003267284035682669,30.0,0,0.0,0.09730720520019531,-0.311832285363277,,,,,,
reverse_global_top_4,4,20,-0.19248509407043457,-0.04025840759277344,-0.12045843601226806,-0.0762929916381836,-0.20712760448455808,-0.04282526016235366,15.0,0,0.0,0.0023250579833984375,-0.6047115266487706,,,,,,
reverse_global_top_8,8,20,-0.13203577995300292,-0.017801761627197266,-0.07312343120574952,-0.052282094955444336,-0.15024674892425538,0.00028597116470334123,25.0,0,0.0,0.012079238891601562,-0.41330171831468404,,,,,,
reverse_global_top_16,16,20,-0.15478873252868652,-0.04580259323120117,-0.10849072933197021,-0.052150726318359375,-0.19436371922492982,-0.02152716755867007,15.0,0,0.0,0.0072956085205078125,-0.5305400202612673,,,,,,
reverse_global_top_32,32,20,-0.18183460235595703,-0.05517387390136719,-0.13978374004364014,-0.09771919250488281,-0.25228628754615784,-0.03872385382652288,20.0,0,0.0,0.00365447998046875,-0.5454153262653679,,,,,,
reverse_global_top_64,64,20,-0.1539665699005127,-0.06290388107299805,-0.0848766565322876,-0.05646061897277832,-0.1819868314266205,0.0024215126037597057,45.0,0,0.0,0.14290618896484375,-0.39024555869934097,,,,,,
reverse_personal_top_1,1,20,0.01946601867675781,0.012532234191894531,0.019968509674072266,0.016356945037841797,-0.003258683085441589,0.04829927563667296,65.0,0,0.0,0.24548721313476562,0.31995864694288917,,,,,,
reverse_personal_top_2,2,20,-0.0007565975189208985,-0.0012922286987304688,-0.006786775588989258,0.005747318267822266,-0.043742796182632444,0.030041707754135095,55.00000000000001,0,0.0,0.7841262817382812,-0.07768452637451709,,,,,,
reverse_personal_top_4,4,20,-0.013247537612915038,-0.003848552703857422,-0.01725320816040039,-0.008573055267333984,-0.06434957385063171,0.03331518530845642,40.0,0,0.0,0.49800872802734375,-0.15051018443011432,,,,,,
reverse_personal_top_8,8,20,-0.09301772117614746,-0.05944013595581055,-0.04573292732238769,-0.028110504150390625,-0.14604824662208557,0.06143733561038962,35.0,0,0.0,0.3299827575683594,-0.18876513543037107,,,,,,
reverse_personal_top_16,16,20,-0.13413991928100585,-0.14209365844726562,-0.07967545986175537,-0.06076383590698242,-0.20118097484111785,0.047649481892585575,45.0,0,0.0,0.20244979858398438,-0.2739598136463374,,,,,,
reverse_personal_top_32,32,20,-0.1458437442779541,-0.058258056640625,-0.12395563125610351,-0.09457921981811523,-0.2746451896429062,0.03667854130268095,30.0,0,0.0,0.1230926513671875,-0.35114978560910415,,,,,,
reverse_combo_6730_3122,2,20,-0.001812314987182617,-0.0012907981872558594,-0.008509492874145508,-0.005990028381347656,-0.02007857143878937,0.003267284035682669,30.0,0,0.0,0.09730720520019531,-0.311832285363277,,,,,,
reverse_combo_6730_22739,2,20,-0.05659971237182617,-0.01935720443725586,-0.03809094429016113,-0.01626443862915039,-0.06771463572978974,-0.015712841749191284,20.0,0,0.0,0.0005855560302734375,-0.616052743596418,,,,,,
reverse_combo_6730_6966,2,20,-0.08749408721923828,-0.024107933044433594,-0.061231803894042966,-0.03492903709411621,-0.12550888299942015,-0.0015080702304840904,25.0,0,0.0,0.01531219482421875,-0.4133990822921787,,,,,,
reverse_combo_3122_22739,2,20,-0.05498580932617188,-0.027650833129882812,-0.03674921989440918,-0.01815032958984375,-0.06270009577274321,-0.015137822628021248,15.0,0,0.0,0.0014324188232421875,-0.6509736487968254,,,,,,
reverse_combo_3122_6966,2,20,-0.08426542282104492,-0.021794795989990234,-0.057872462272644046,-0.03327345848083496,-0.1171423590183258,0.0007195490598677605,25.0,0,0.0,0.01923370361328125,-0.4123665364418714,,,,,,
reverse_combo_22739_6966,2,20,-0.19526190757751466,-0.04355192184448242,-0.10838782787322998,-0.05537700653076172,-0.18895805060863494,-0.034041822552681004,15.0,0,0.0,0.002712249755859375,-0.5766678086577623,,,,,,
reverse_combo_6730_3122_22739,3,20,-0.056518840789794925,-0.021877765655517578,-0.042109227180480956,-0.029492855072021484,-0.07419115960597991,-0.017889703512191775,20.0,0,0.0,0.001209259033203125,-0.6308657630408361,,,,,,
reverse_combo_6730_3122_6966,3,20,-0.0855555534362793,-0.023029327392578125,-0.06534326076507568,-0.033416748046875,-0.13043110072612762,-0.004832538366317784,25.0,0,0.0,0.023950576782226562,-0.4321529010941006,,,,,,
reverse_combo_6730_22739_6966,3,20,-0.19359903335571288,-0.0424342155456543,-0.1156005620956421,-0.05761265754699707,-0.20038238286972046,-0.03997627139091494,15.0,0,0.0,0.001689910888671875,-0.5904649046668342,,,,,,
reverse_combo_3122_22739_6966,3,20,-0.1941129207611084,-0.041142940521240234,-0.11324923038482666,-0.06209135055541992,-0.1953626650571823,-0.03779540538787843,15.0,0,0.0,0.002712249755859375,-0.5930334513837587,,,,,,
