intervention_name,num_features,n_samples,mean_true_logit_change,median_true_logit_change,mean_margin_change,median_margin_change,margin_change_95CI_low,margin_change_95CI_high,percent_margin_improved,num_predictions_recovered,recovery_rate,paired_pvalue,effect_size,random_control_mean,random_control_std,random_empirical_pvalue,magnitude_matched_control_mean,magnitude_matched_control_std,magnitude_matched_empirical_pvalue
personal_top_1,1,190,-0.24740127921104432,-0.1226506233215332,-0.053771089252672696,-0.028871536254882812,-0.10425832444115689,-0.001841643264419199,41.578947368421055,6,0.031578947368421054,0.016052230257124385,-0.14943951711586612,,,,,,
personal_top_2,2,190,-0.07850057718000913,-0.042122840881347656,-0.018189367495085065,-0.03362226486206055,-0.08304014943147961,0.052901171226250404,44.73684210526316,6,0.031578947368421054,0.04586139450246434,-0.03932200886647705,,,,,,
personal_top_4,4,190,0.13213995569630674,0.06990718841552734,0.08804932519009238,0.022396564483642578,0.01254323830730037,0.1690042956565556,53.68421052631579,12,0.06315789473684211,0.2808680766249033,0.1648441116366647,,,,,,
personal_top_8,8,190,0.4400398745348579,0.2922799587249756,0.3020306587219238,0.15522003173828125,0.21835019839437386,0.3952167430049494,68.42105263157895,22,0.11578947368421053,1.6989009850498256e-09,0.48268309496581296,,,,,,
personal_top_16,16,190,0.6990837947318428,0.4957156181335449,0.607013319668017,0.3651607036590576,0.49733985019357585,0.7366763051560051,81.57894736842105,29,0.15263157894736842,3.270605505538667e-21,0.7175611458841659,,,,,,
personal_top_32,32,190,1.0197978414987263,0.8182766437530518,1.006335237151698,0.6755273342132568,0.858608666752514,1.1741637756949976,86.8421052631579,48,0.25263157894736843,1.3664370842387071e-27,0.9062948922444753,,,,,,
combo_6730_3122,2,190,0.003127214939970719,0.0010540485382080078,0.004519068567376387,0.004022836685180664,-0.0014620713497463026,0.010617306483419318,55.26315789473685,3,0.015789473684210527,0.10246109234663418,0.10665374044574955,,,,,,
combo_6730_22739,2,190,0.1537395494548898,0.06209993362426758,0.02227941688738371,0.012571334838867188,-0.011577086668265494,0.056442754990176126,58.42105263157895,6,0.031578947368421054,0.05771525292896175,0.08884347054414748,,,,,,
combo_6730_6966,2,190,0.21868919322365207,0.11790943145751953,0.11099846614034552,0.03840517997741699,0.07076208353042603,0.15667455930458862,66.3157894736842,8,0.042105263157894736,1.0362836534918276e-06,0.35625964707496105,,,,,,
combo_3122_22739,2,190,0.15120763888484554,0.05600559711456299,0.0160577046243768,0.01098012924194336,-0.017675506660812777,0.04951917478912755,57.36842105263158,7,0.03684210526315789,0.1289097266457482,0.06585342048706438,,,,,,
combo_3122_6966,2,190,0.21687536192567725,0.11875724792480469,0.10548824636559738,0.024135112762451172,0.06785176462248751,0.14982858773909116,62.63157894736842,9,0.04736842105263158,8.915089261356082e-06,0.3512540420113199,,,,,,
