base_feature,matched_tuned_feature,decoder_cosine,base_mean_noise_minus_clean,tuned_mean_noise_minus_clean,base_direction_consistency,tuned_direction_consistency,base_margin_correlation,tuned_margin_correlation,base_margin_qvalue,tuned_margin_qvalue,same_change_direction,same_harmful_association_direction,tuned_remains_fdr_significant
5878,5878,0.4063672423362732,1.001379132270813,-0.8041402101516724,0.7338,0.7116,-0.060560762882232666,-0.0018820347031578422,0.0015726811953209107,0.9988109640621736,False,True,False
8904,8904,0.46853700280189514,1.2506506443023682,-0.07646489143371582,0.716,0.5188,-0.06625434756278992,0.01329667679965496,0.00033797663999004206,0.9988109640621736,False,False,False
10752,10752,0.44471055269241333,0.775443434715271,-0.13212698698043823,0.6732,0.5492,-0.06955703347921371,0.026461586356163025,0.00012222903256239686,0.7110287360846996,False,False,False
23756,23756,0.25802677869796753,1.066860318183899,0.0,0.7442,0.0,-0.04710200056433678,0.0,0.02581784937178276,1.0,False,False,False
3893,3893,0.3854156732559204,0.8124859929084778,0.4948211908340454,0.698,0.6432,-0.0604398138821125,-0.02161996066570282,0.0016023762404716656,0.9988109640621736,True,True,False
17400,5750,0.16216716170310974,0.5147237181663513,0.0,0.6206,0.0,-0.09750425070524216,0.0,2.99529260781762e-09,1.0,False,False,False
17814,17814,0.5844544172286987,0.8963491320610046,-0.346993088722229,0.6,0.5444,-0.11178307980298996,-0.023480484262108803,1.93137014483841e-12,0.8411427416628406,False,True,False
16938,16938,0.4394141435623169,0.7893252968788147,-0.2681399881839752,0.6944,0.5908,-0.04458966478705406,0.00781568419188261,0.04206584347835319,0.9988109640621736,False,False,False
4889,4889,0.23880091309547424,0.5781940817832947,6.88917793922883e-08,0.6444,0.0002,-0.06556234508752823,0.010015436448156834,0.0003665967718162148,0.9988109640621736,True,False,False
7166,19478,0.14720217883586884,0.5560343861579895,1.5259835208780714e-06,0.6264,0.0002,-0.06727426499128342,-0.011678546667098999,0.0002589460871860183,0.9988109640621736,True,True,False
9489,9489,0.49033939838409424,0.5157456994056702,0.003617271315306425,0.6262,0.503,-0.06520538032054901,0.013365129940211773,0.00040404261985064034,0.9988109640621736,True,False,False
3763,3763,0.35342568159103394,0.6332237720489502,-0.5294772982597351,0.6426,0.661,-0.048065826296806335,0.014020083472132683,0.020884289675921524,0.9988109640621736,False,False,False
10585,10585,0.5288019180297852,0.5528627634048462,0.3940739333629608,0.6378,0.6024,-0.04895106330513954,0.0059425802901387215,0.01820469075652558,0.9988109640621736,True,False,False
19674,19674,0.5111329555511475,0.40945202112197876,0.09319713711738586,0.6088,0.5134,-0.05310031771659851,0.003619113704189658,0.007346839941968901,0.9988109640621736,True,False,False
3867,3867,0.5955183506011963,0.46648383140563965,0.22968637943267822,0.6104,0.5558,-0.04893771559000015,-0.0330587662756443,0.01820469075652558,0.3712660780097071,True,True,False
4705,4705,0.43115854263305664,0.45440614223480225,-0.15089528262615204,0.613,0.5598,-0.043951742351055145,-0.019546136260032654,0.04818279775679998,0.9988109640621736,False,True,False
7331,7331,0.4632303714752197,0.371428906917572,-0.5063623785972595,0.6002,0.615,-0.05418359488248825,0.005491464398801327,0.005614587848108339,0.9988109640621736,False,False,False
6553,6553,0.19808949530124664,0.38186410069465637,0.0,0.6012,0.0,-0.04801163449883461,0.0,0.02102764425632943,1.0,False,False,False
682,682,0.690288782119751,-0.9240591526031494,-0.2126452922821045,0.606,0.5382,0.05442100390791893,0.01245555654168129,0.005301563650543055,0.9988109640621736,True,True,False
14190,1988,0.13976702094078064,0.04038068279623985,0.0,0.685,0.0,-0.0474899597465992,0.0,0.023546029980476762,1.0,False,False,False
